t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft
33600,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,41.9662,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.4165,-82.60929999999996,8000.0,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
34200,41.918299999998425,-84.02169999999931,8000.0,41.673,-82.94049999999926,16984.082545699202,41.96619999999975,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.41649999999987,-82.60929999999996,8000.0,42.91499999999999,-83.60199999999942,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
34800,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,41.9662,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.4165,-82.60929999999996,8000.0,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
35400,41.91829999999823,-84.02169999999929,8000.0,41.673,-82.94049999999912,16984.082545699202,41.96619999999969,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.41649999999984,-82.60929999999996,8000.0,42.91499999999999,-83.60199999999938,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
36000,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,41.9662,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.4165,-82.60929999999996,8000.0,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
36600,41.91829999999814,-84.02169999999937,8000.0,41.673,-82.94049999999913,16984.082545699202,41.96619999999962,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.416499999999786,-82.60929999999996,8000.0,42.91499999999999,-83.60199999999936,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
37200,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,41.9662,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.4165,-82.60929999999996,8000.0,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
37800,41.91829999999808,-84.02169999999934,8000.0,41.673,-82.9404999999991,16984.082545699202,41.96620000000065,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.41649999999973,-82.60929999999996,8000.0,42.91499999999999,-83.60199999999928,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
38400,41.9183,-84.0217,8000.0,41.673,-82.9405,16984.082545699202,41.9662,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.4165,-82.60929999999996,8000.0,42.915,-83.602,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
39000,41.91829999999733,-84.02169999999929,8000.0,41.673,-82.94049999999918,16984.082545699202,41.96619999999943,-84.2975,11000.0,40.50167,-85.78167,29200.0,42.41649999999965,-82.60929999999996,8000.0,42.91499999999999,-83.60199999999928,17000.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
