ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
DERLO,43.06638888888889,-81.09527777777777,ENROUTE_WAYPOINT,CAN,SCANE,E,A,ENRT,N43035900W081054300,SCANEAENRT   DERLO CY0    W     N43035900W081054300                       W0090     NAR           DERLO                    010762203,1081
DERRE,42.55276666666666,-85.11416944444444,TERMINAL_WAYPOINT,USA,SUSAP,P,C,9D9,N42330996W085065101,SUSAP 9D9 K5CDERRE K50    W     N42330996W085065101                       W0061     NAR           DERRE                    044582201,104462
DERRF,41.66575833333333,-85.39960833333333,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41395673W085235859,SUSAEAENRT   DERRF K50    W   L N41395673W085235859                       W0058     NAR           DERRF                    328832403,32888
DESDN,42.52333333333333,-82.25666666666666,ENROUTE_WAYPOINT,CAN,SCANE,E,A,ENRT,N42312400W082152400,SCANEAENRT   DESDN CY0    W     N42312400W082152400                       W0081     NAR           DESDN                    010772203,1082
DETMR,42.11903888888889,-85.09416388888889,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N42070854W085053899,SUSAEAENRT   DETMR K50    W     N42070854W085053899                       W0061     NAR           DETMR                    329012605,32906
DEUSO,40.99096388888889,-80.22595277777778,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KPJC,N40592747W080133343,SUSAP KPJCK6CDEUSO K60    W     N40592747W080133343                       W0092     NAR           DEUSO                    895062008,289509
DEVOH,41.05103611111111,-82.35094722222222,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41030373W082210341,SUSAEAENRT   DEVOH K50    W     N41030373W082210341                       W0078     NAR           DEVOH                    329112008,32916
DEVYL,41.34847222222223,-81.95455833333334,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCLE,N41205450W081571641,SUSAP KCLEK5CDEVYL K50    C     N41205450W081571641                       W0081     NAR           DEVYL                    500622008,150066
DEWIT,42.80253888888888,-84.55000277777778,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N42480914W084330001,SUSAEAENRT   DEWIT K50    R   H N42480914W084330001                       W0065     NAR           DEWIT                    329212504,32926
DEWLA,41.28415833333333,-84.30792777777778,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41170297W084182854,SUSAEAENRT   DEWLA K50    W     N41170297W084182854                       W0065     NAR           DEWLA                    329222304,32927
DEYAY,39.68700277777778,-82.92376944444445,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KRZT,N39411321W082552557,SUSAP KRZTK5CDEYAY K50    W     N39411321W082552557                       W0072     NAR           DEYAY                    069632201,306965
DEYFE,41.470625000000005,-85.16536388888889,TERMINAL_WAYPOINT,USA,SUSAP,P,C,C62,N41281425W085095531,SUSAP C62 K5CDEYFE K50    W     N41281425W085095531                       W0059     NAR           DEYFE                    060582304,106062
DEYSY,43.98041666666667,-84.38381666666668,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43584950W084230174,SUSAEAENRT   DEYSY K50    W     N43584950W084230174                       W0068     NAR           DEYSY(CNF)               329342504,32939
