ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
TRANK,31.649319444444444,-83.61832777777776,TERMINAL_WAYPOINT,USA,SUSAP,P,C,75J,N31385755W083370598,SUSAP 75J K7CTRANK K70    W     N31385755W083370598                       W0059     NAR           TRANK                    002102605,100214
TRAPI,33.495780555555555,-83.16145277777778,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N33294481W083094123,SUSAEAENRT   TRAPI K70    R   L N33294481W083094123                       W0064     NAR           TRAPI                    511672605,51172
TRAYE,33.60884166666667,-81.86995555555555,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N33363183W081521184,SUSAEAENRT   TRAYE K70    W     N33363183W081521184                       W0072     NAR           TRAYE                    511702605,51175
TREAD,33.76413055555555,-82.05125555555556,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N33455087W082030452,SUSAEAENRT   TREAD K70    C   L N33455087W082030452                       W0071     NAR           TREAD                    511742605,51179
TRPLE,33.72110555555556,-82.06352777777778,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N33431598W082034870,SUSAEAENRT   TRPLE K70    W     N33431598W082034870                       W0071     NAR           TRPLE                    512392605,51244
TRREE,33.787438888888886,-82.92506111111112,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N33471478W082553022,SUSAEAENRT   TRREE K70    W   L N33471478W082553022                       W0066     NAR           TRREE                    512442605,51249
TRUET,32.30130833333333,-82.58591944444444,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N32180471W082350931,SUSAEAENRT   TRUET K70    R   L N32180471W082350931                       W0066     NAR           TRUET                    512642605,51269
TRUKR,32.71970833333334,-83.06146111111111,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N32431095W083034126,SUSAEAENRT   TRUKR K70    R     N32431095W083034126                       W0064     NAR           TRUKR                    512662605,51271
TRUST,33.63944166666666,-86.61634166666666,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N33382199W086365883,SUSAEAENRT   TRUST K70    C   L N33382199W086365883                       W0041     NAR           TRUST                    512742605,51279
TSKGE,32.596047222222225,-85.87922777777777,TERMINAL_WAYPOINT,USA,SUSAP,P,C,06A,N32354577W085524522,SUSAP 06A K7CTSKGE K70    W     N32354577W085524522                       W0045     NAR           TSKGE                    791672605,79172
TTREE,31.15074444444444,-83.48816111111111,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N31090268W083291738,SUSAEAENRT   TTREE K70    C     N31090268W083291738                       W0059     NAR           TTREE-MIL                512932605,51298
TUCKE,35.173986111111105,-84.29882777777777,TERMINAL_WAYPOINT,USA,SUSAP,P,C,1A3,N35102635W084175578,SUSAP 1A3 K7CTUCKE K70    W     N35102635W084175578                       W0058     NAR           TUCKE                    833382504,83343
TUDAY,33.78971388888889,-83.38989166666667,TERMINAL_WAYPOINT,USA,SUSAP,P,C,52A,N33472297W083232361,SUSAP 52A K7CTUDAY K70    R     N33472297W083232361                       W0063     NAR           TUDAY                    950592605,95064
TUDCI,32.786591666666666,-85.26831666666666,TERMINAL_WAYPOINT,USA,SUSAP,P,C,7A3,N32471173W085160594,SUSAP 7A3 K7CTUDCI K70    W     N32471173W085160594                       W0049     NAR           TUDCI                    006832601,100687
TUFTY,32.6004,-82.97001666666667,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KDBN,N32360144W082581206,SUSAP KDBNK7CTUFTY K70    W     N32360144W082581206                       W0064     NAR           TUFTY                    643812605,164385
TUGOC,33.94130277777777,-83.12455555555555,TERMINAL_WAYPOINT,USA,SUSAP,P,C,52A,N33562869W083072840,SUSAP 52A K7CTUGOC K70    R     N33562869W083072840                       W0064     NAR           TUGOC                    950602403,95065
TUKUC,34.53069444444444,-82.7209888888889,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KAND,N34315050W082431556,SUSAP KANDK7CTUKUC K70    W     N34315050W082431556                       W0068     NAR           TUKUC                    203412605,120345
TUMVY,31.23495555555556,-83.66449722222222,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KMGR,N31140584W083395219,SUSAP KMGRK7CTUMVY K70    W     N31140584W083395219                       W0058     NAR           TUMVY                    557792605,255782
TUPGE,31.441216666666666,-84.16111666666667,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KABY,N31262838W084094002,SUSAP KABYK7CTUPGE K70    W     N31262838W084094002                       W0055     NAR           TUPGE                    139122605,113916
TUPPS,31.354122222222223,-85.531575,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N31211484W085315367,SUSAEAENRT   TUPPS K70    R     N31211484W085315367                       W0046     NAR           TUPPS-MIL                513672605,51372
