ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
KRRTR,43.271699999999996,-91.37517222222222,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43161812W091223062,SUSAEAENRT   KRRTR K30    W   L N43161812W091223062                       W0015     NAR           KRRTR                    420582605,42063
KRSMS,45.885286111111114,-90.026275,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N45530703W090013459,SUSAEAENRT   KRSMS K50    C   L N45530703W090013459                       W0028     NAR           KRSMS                    420592403,42064
KRUGY,43.935202777777775,-90.54698333333333,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43560673W090324914,SUSAEAENRT   KRUGY K50    W     N43560673W090324914                       W0022     NAR           KRUGY-MIL                420682605,42073
KSOTA,45.04351388888889,-94.79019444444444,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N45023665W094472470,SUSAEAENRT   KSOTA K30    R     N45023665W094472470                       E0010     NAR           KSOTA                    421392605,42144
KUBYE,44.06296666666666,-94.62121666666665,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KJYG,N44034668W094371638,SUSAP KJYGK3CKUBYE K30    W     N44034668W094371638                       E0010     NAR           KUBYE                    322932403,232296
KUCCE,43.259994444444445,-91.69316666666667,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KDEH,N43153598W091413540,SUSAP KDEHK3CKUCCE K30    W     N43153598W091413540                       W0012     NAR           KUCCE                    658852403,165889
KUCTE,42.435247222222216,-92.18457777777778,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KALO,N42260689W092110448,SUSAP KALOK3CKUCTE K30    C     N42260689W092110448                       W0008     NAR           KUCTE                    193252605,119329
KUKGE,44.427825,-94.97504166666667,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N44254017W094583015,SUSAEAENRT   KUKGE K30    R   L N44254017W094583015                       E0012     NAR           KUKGE                    423802605,42385
KUUGL,44.94840555555555,-94.35461111111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KMSP,N44565426W094211660,SUSAP KMSPK3CKUUGL K30    W     N44565426W094211660                       E0007     NAR           KUUGL                    645462605,264549
KUZMO,45.22594166666667,-96.40158055555555,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KVVV,N45133339W096240569,SUSAP KVVVK3CKUZMO K30    W     N45133339W096240569                       E0023     NAR           KUZMO                    419632403,341965
LACIY,45.16173611111111,-90.07415,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KRRL,N45094225W090042694,SUSAP KRRLK5CLACIY K50    W     N45094225W090042694                       W0027     NAR           LACIY                    046652605,304667
LADDN,44.94113333333333,-91.49543055555556,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KLUM,N44562808W091294355,SUSAP KLUMK5CLADDN K50    W     N44562808W091294355                       W0015     NAR           LADDN                    459122403,245915
LAKRE,44.03030833333333,-91.47045,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KLSE,N44014911W091281362,SUSAP KLSEK5CLAKRE K50    W     N44014911W091281362                       W0015     NAR           LAKRE                    449522605,244955
LALBE,43.12439166666667,-93.04499722222222,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43072781W093024199,SUSAEAENRT   LALBE K30    W     N43072781W093024199                       W0002     NAR           LALBE                    425732605,42578
LALIY,42.52725,-92.08757222222222,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KALO,N42313810W092051526,SUSAP KALOK3CLALIY K30    W     N42313810W092051526                       W0009     NAR           LALIY                    193262605,119330
LALRE,44.92380277777777,-96.10496388888889,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KDXX,N44552569W096061787,SUSAP KDXXK3CLALRE K30    W     N44552569W096061787                       E0020     NAR           LALRE                    788472605,178851
LAMPY,45.980691666666665,-91.88411388888889,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N45585049W091530281,SUSAEAENRT   LAMPY K50    R   L N45585049W091530281                       W0013     NAR           LAMPY                    425962403,42601
LANIY,44.05784166666666,-91.2610611111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KLSE,N44032823W091153982,SUSAP KLSEK5CLANIY K50    R     N44032823W091153982                       W0016     NAR           LANIY                    449532409,244956
LANNC,45.559891666666665,-91.7514,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N45333561W091450504,SUSAEAENRT   LANNC K50    W     N45333561W091450504                       W0014     NAR           LANNC                    426202605,42625
LAREW,46.45738611111111,-94.0233638888889,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KBRD,N46272659W094012411,SUSAP KBRDK3CLAREW K30    W     N46272659W094012411                       E0004     NAR           LAREW                    399622403,139966
LASNY,47.04802222222222,-93.45069444444445,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KGPZ,N47025288W093270250,SUSAP KGPZK3CLASNY K30    R     N47025288W093270250                       W0001     NAR           LASNY                    035772403,203580
LAYEB,46.6586,-95.93166666666667,TERMINAL_WAYPOINT,USA,SUSAP,P,C,16D,N46393096W095555400,SUSAP 16D K3CLAYEB K30    W     N46393096W095555400                       E0019     NAR           LAYEB                    827792403,82784
LAYLI,46.637302777777776,-93.33233055555556,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KHZX,N46381429W093195639,SUSAP KHZXK3CLAYLI K30    W     N46381429W093195639                       W0002     NAR           LAYLI                    184872504,218490
LAYVU,45.58468055555556,-90.921225,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N45350485W090551641,SUSAEAENRT   LAYVU K50    C   L N45350485W090551641                       W0020     NAR           LAYVU                    427232304,42728
LAZNU,46.77901388888889,-92.01176111111111,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N46464445W092004234,SUSAEAENRT   LAZNU K30    C   L N46464445W092004234                       W0013     NAR           LAZNU                    427272605,42732
LAZYY,43.96527777777778,-93.24694444444445,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KMSP,N43575500W093144900,SUSAP KMSPK3CLAZYY K30    W     N43575500W093144900                       W0001     NAR           LAZYY                    645472605,264550
LEBIC,44.27063888888889,-95.90465277777778,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KTKC,N44161430W095541675,SUSAP KTKCK3CLEBIC K30    W     N44161430W095541675                       E0019     NAR           LEBIC                    296042605,329606
LEENA,44.514625,-92.31645555555555,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N44305265W092185924,SUSAEAENRT   LEENA K30    W     N44305265W092185924                       W0008     NAR           LEENA                    428392403,42844
