region_id,n_pixels,min_lat,max_lat,min_lon,max_lon,centroid_lat,centroid_lon,t_minutes,shift_meters
1503,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1508,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1512,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1517,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1538,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1566,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1581,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1588,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1591,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1594,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1605,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1615,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1619,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1620,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1622,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1631,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1643,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1646,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1651,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1652,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1653,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1655,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1661,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1662,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1670,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1678,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1685,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1700,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1708,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1713,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1719,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1721,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1729,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1747,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1750,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1766,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
1775,0,-1.0468065001700904,-1.0468065001700904,0.0,0.0,-1.0468065001700904,0.0,25,115750.0
