t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft
122400,41.673,-82.9405,18615.59306899031,42.416499999984474,-82.60929999999996,8000.0,41.96619999998109,-84.29750000000001,11000.0,42.41649999998493,-82.60929999999996,8000.0,41.673,-82.94049999999662,14000.0
123000,41.67300000001459,-82.94049999999662,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
123600,41.673,-82.9405,18615.59306899031,42.41649999998504,-82.60929999999996,8000.0,41.96619999998094,-84.29750000000001,11000.0,42.41649999998548,-82.60929999999996,8000.0,41.673,-82.94049999999679,14000.0
124200,41.67300000001418,-82.94049999999659,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
124800,41.673,-82.9405,18615.59306899031,42.416499999984616,-82.60929999999996,8000.0,41.96619999998238,-84.29750000000001,11000.0,42.41649999998521,-82.60929999999996,8000.0,41.673,-82.94049999999665,14000.0
125400,41.67300000001382,-82.94049999999665,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
126000,41.673,-82.9405,18615.59306899031,42.41649999998446,-82.60929999999996,8000.0,41.96619999998197,-84.29750000000001,11000.0,42.416499999985156,-82.60929999999996,8000.0,41.673,-82.94049999999679,14000.0
126600,41.673000000014035,-82.94049999999662,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
127200,41.673,-82.9405,18615.59306899031,42.4164999999849,-82.60929999999996,8000.0,41.966199999981505,-84.29750000000001,11000.0,42.41649999998533,-82.60929999999996,8000.0,41.673,-82.94049999999667,14000.0
127800,41.673000000013836,-82.94049999999659,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
